race_id,url
20260812_12_aomori_01R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/1220260812/12202608120100/01/3rentan/
20260812_12_aomori_02R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/1220260812/12202608120100/02/3rentan/
20260812_12_aomori_03R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/1220260812/12202608120100/03/3rentan/
20260812_12_aomori_04R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/1220260812/12202608120100/04/3rentan/
20260812_12_aomori_05R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/1220260812/12202608120100/05/3rentan/
20260812_12_aomori_06R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/1220260812/12202608120100/06/3rentan/
20260812_12_aomori_07R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/1220260812/12202608120100/07/3rentan/
20260812_12_aomori_08R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/1220260812/12202608120100/08/3rentan/
20260812_12_aomori_09R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/1220260812/12202608120100/09/3rentan/
20260812_21_yahiko_01R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/2120260811/21202608110200/01/3rentan/
20260812_21_yahiko_02R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/2120260811/21202608110200/02/3rentan/
20260812_21_yahiko_03R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/2120260811/21202608110200/03/3rentan/
20260812_21_yahiko_04R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/2120260811/21202608110200/04/3rentan/
20260812_21_yahiko_05R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/2120260811/21202608110200/05/3rentan/
20260812_21_yahiko_06R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/2120260811/21202608110200/06/3rentan/
20260812_21_yahiko_07R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/2120260811/21202608110200/07/3rentan/
20260812_21_yahiko_08R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/2120260811/21202608110200/08/3rentan/
20260812_21_yahiko_09R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/2120260811/21202608110200/09/3rentan/
20260812_21_yahiko_10R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/2120260811/21202608110200/10/3rentan/
20260812_21_yahiko_11R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/2120260811/21202608110200/11/3rentan/
20260812_21_yahiko_12R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/2120260811/21202608110200/12/3rentan/
20260812_43_gifu_01R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/4320260812/43202608120100/01/3rentan/
20260812_43_gifu_02R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/4320260812/43202608120100/02/3rentan/
20260812_43_gifu_03R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/4320260812/43202608120100/03/3rentan/
20260812_43_gifu_04R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/4320260812/43202608120100/04/3rentan/
20260812_43_gifu_05R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/4320260812/43202608120100/05/3rentan/
20260812_43_gifu_06R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/4320260812/43202608120100/06/3rentan/
20260812_43_gifu_07R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/4320260812/43202608120100/07/3rentan/
20260812_46_toyama_01R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/4620260810/46202608100300/01/3rentan/
20260812_46_toyama_02R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/4620260810/46202608100300/02/3rentan/
20260812_46_toyama_03R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/4620260810/46202608100300/03/3rentan/
20260812_46_toyama_04R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/4620260810/46202608100300/04/3rentan/
20260812_46_toyama_05R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/4620260810/46202608100300/05/3rentan/
20260812_46_toyama_06R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/4620260810/46202608100300/06/3rentan/
20260812_46_toyama_07R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/4620260810/46202608100300/07/3rentan/
20260812_46_toyama_08R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/4620260810/46202608100300/08/3rentan/
20260812_46_toyama_09R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/4620260810/46202608100300/09/3rentan/
20260812_46_toyama_10R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/4620260810/46202608100300/10/3rentan/
20260812_46_toyama_11R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/4620260810/46202608100300/11/3rentan/
20260812_75_matsuyama_01R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/7520260811/75202608110200/01/3rentan/
20260812_75_matsuyama_02R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/7520260811/75202608110200/02/3rentan/
20260812_75_matsuyama_03R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/7520260811/75202608110200/03/3rentan/
20260812_75_matsuyama_04R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/7520260811/75202608110200/04/3rentan/
20260812_75_matsuyama_05R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/7520260811/75202608110200/05/3rentan/
20260812_75_matsuyama_06R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/7520260811/75202608110200/06/3rentan/
20260812_75_matsuyama_07R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/7520260811/75202608110200/07/3rentan/
20260812_75_matsuyama_08R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/7520260811/75202608110200/08/3rentan/
20260812_75_matsuyama_09R,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/7520260811/75202608110200/09/3rentan/
