race_id,race_date,venue_code,grade,url
PROBE_20260808_85_sasebo_01R,2026-08-08,85,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/8520260808/85202608080100/01/3rentan/
PROBE_20260808_85_sasebo_02R,2026-08-08,85,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/8520260808/85202608080100/02/3rentan/
PROBE_20260808_85_sasebo_03R,2026-08-08,85,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/8520260808/85202608080100/03/3rentan/
PROBE_20260808_85_sasebo_04R,2026-08-08,85,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/8520260808/85202608080100/04/3rentan/
PROBE_20260808_85_sasebo_05R,2026-08-08,85,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/8520260808/85202608080100/05/3rentan/
PROBE_20260808_85_sasebo_06R,2026-08-08,85,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/8520260808/85202608080100/06/3rentan/
PROBE_20260808_85_sasebo_07R,2026-08-08,85,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/8520260808/85202608080100/07/3rentan/
PROBE_20260808_85_sasebo_08R,2026-08-08,85,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/8520260808/85202608080100/08/3rentan/
PROBE_20260808_85_sasebo_09R,2026-08-08,85,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/8520260808/85202608080100/09/3rentan/
PROBE_20260808_85_sasebo_10R,2026-08-08,85,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/8520260808/85202608080100/10/3rentan/
PROBE_20260808_85_sasebo_11R,2026-08-08,85,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/8520260808/85202608080100/11/3rentan/
PROBE_20260808_85_sasebo_12R,2026-08-08,85,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/8520260808/85202608080100/12/3rentan/
PROBE_20260808_55_wakayama_01R,2026-08-08,55,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/5520260808/55202608080100/01/3rentan/
PROBE_20260808_55_wakayama_02R,2026-08-08,55,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/5520260808/55202608080100/02/3rentan/
PROBE_20260808_55_wakayama_03R,2026-08-08,55,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/5520260808/55202608080100/03/3rentan/
PROBE_20260808_55_wakayama_04R,2026-08-08,55,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/5520260808/55202608080100/04/3rentan/
PROBE_20260808_55_wakayama_05R,2026-08-08,55,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/5520260808/55202608080100/05/3rentan/
PROBE_20260808_55_wakayama_06R,2026-08-08,55,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/5520260808/55202608080100/06/3rentan/
PROBE_20260808_55_wakayama_07R,2026-08-08,55,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/5520260808/55202608080100/07/3rentan/
PROBE_20260808_55_wakayama_08R,2026-08-08,55,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/5520260808/55202608080100/08/3rentan/
PROBE_20260808_55_wakayama_09R,2026-08-08,55,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/5520260808/55202608080100/09/3rentan/
PROBE_20260808_55_wakayama_10R,2026-08-08,55,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/5520260808/55202608080100/10/3rentan/
PROBE_20260808_55_wakayama_11R,2026-08-08,55,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/5520260808/55202608080100/11/3rentan/
PROBE_20260808_55_wakayama_12R,2026-08-08,55,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/5520260808/55202608080100/12/3rentan/
PROBE_20260808_28_tachikawa_01R,2026-08-08,28,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/2820260808/28202608080100/01/3rentan/
PROBE_20260808_28_tachikawa_02R,2026-08-08,28,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/2820260808/28202608080100/02/3rentan/
PROBE_20260808_28_tachikawa_03R,2026-08-08,28,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/2820260808/28202608080100/03/3rentan/
PROBE_20260808_28_tachikawa_04R,2026-08-08,28,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/2820260808/28202608080100/04/3rentan/
PROBE_20260808_28_tachikawa_05R,2026-08-08,28,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/2820260808/28202608080100/05/3rentan/
PROBE_20260808_28_tachikawa_06R,2026-08-08,28,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/2820260808/28202608080100/06/3rentan/
PROBE_20260808_28_tachikawa_07R,2026-08-08,28,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/2820260808/28202608080100/07/3rentan/
PROBE_20260808_28_tachikawa_08R,2026-08-08,28,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/2820260808/28202608080100/08/3rentan/
PROBE_20260808_28_tachikawa_09R,2026-08-08,28,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/2820260808/28202608080100/09/3rentan/
PROBE_20260808_28_tachikawa_10R,2026-08-08,28,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/2820260808/28202608080100/10/3rentan/
PROBE_20260808_28_tachikawa_11R,2026-08-08,28,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/2820260808/28202608080100/11/3rentan/
PROBE_20260808_28_tachikawa_12R,2026-08-08,28,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/2820260808/28202608080100/12/3rentan/
PROBE_20260808_13_iwakitaira_01R,2026-08-08,13,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/1320260808/13202608080100/01/3rentan/
PROBE_20260808_13_iwakitaira_02R,2026-08-08,13,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/1320260808/13202608080100/02/3rentan/
PROBE_20260808_13_iwakitaira_03R,2026-08-08,13,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/1320260808/13202608080100/03/3rentan/
PROBE_20260808_13_iwakitaira_04R,2026-08-08,13,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/1320260808/13202608080100/04/3rentan/
PROBE_20260808_13_iwakitaira_05R,2026-08-08,13,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/1320260808/13202608080100/05/3rentan/
PROBE_20260808_13_iwakitaira_06R,2026-08-08,13,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/1320260808/13202608080100/06/3rentan/
PROBE_20260808_13_iwakitaira_07R,2026-08-08,13,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/1320260808/13202608080100/07/3rentan/
PROBE_20260808_24_utsunomiya_01R,2026-08-08,24,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/2420260808/24202608080100/01/3rentan/
PROBE_20260808_24_utsunomiya_02R,2026-08-08,24,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/2420260808/24202608080100/02/3rentan/
PROBE_20260808_24_utsunomiya_03R,2026-08-08,24,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/2420260808/24202608080100/03/3rentan/
PROBE_20260808_24_utsunomiya_04R,2026-08-08,24,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/2420260808/24202608080100/04/3rentan/
PROBE_20260808_24_utsunomiya_05R,2026-08-08,24,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/2420260808/24202608080100/05/3rentan/
PROBE_20260808_24_utsunomiya_06R,2026-08-08,24,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/2420260808/24202608080100/06/3rentan/
PROBE_20260808_24_utsunomiya_07R,2026-08-08,24,NONHOLDOUT,https://keirin.kdreams.jp/gamboo/keirin-kaisai/race-card/odds/2420260808/24202608080100/07/3rentan/
